Typ,Operacja,Powtorzenia,Czas całkowity,Liczba elem,Czas śr
Array,add,20,0,10,0
Array,add,20,3,100,0
Array,add,20,5,500,0
Array,add,20,14,1000,1
Array,add,20,56,2000,3
Array,add,20,130,3000,7
Array,add,20,208,5000,10
Array,add,20,197,7000,10
Array,add,20,375,10000,19
Array,add,20,668,13000,33
Array,add,20,1423,20000,71
Array,add,20,3335,30000,167
Array,add,20,9173,50000,459
List,add,20,0,10,0
List,add,20,2,100,0
List,add,20,1,500,0
List,add,20,1,1000,0
List,add,20,5,2000,0
List,add,20,1,3000,0
List,add,20,2,5000,0
List,add,20,4,7000,0
List,add,20,5,10000,0
List,add,20,6,13000,0
List,add,20,5,20000,0
List,add,20,8,30000,0
List,add,20,11,50000,1
Heap,add,20,0,10,0
Heap,add,20,4,100,0
Heap,add,20,2,500,0
Heap,add,20,5,1000,0
Heap,add,20,4,2000,0
Heap,add,20,4,3000,0
Heap,add,20,6,5000,0
Heap,add,20,5,7000,0
Heap,add,20,5,10000,0
Heap,add,20,5,13000,0
Heap,add,20,6,20000,0
Heap,add,20,10,30000,1
Heap,add,20,17,50000,1
Bst,add,20,3,10,0
Bst,add,20,2,100,0
Bst,add,20,3,500,0
Bst,add,20,3,1000,0
Bst,add,20,3,2000,0
Bst,add,20,6,3000,0
Bst,add,20,10,5000,1
Bst,add,20,14,7000,1
Bst,add,20,18,10000,1
Bst,add,20,30,13000,2
Bst,add,20,55,20000,3
Bst,add,20,113,30000,6
Bst,add,20,205,50000,10
Avl,add,20,1,10,0
Avl,add,20,5,100,0
Avl,add,20,11,500,1
Avl,add,20,15,1000,1
Avl,add,20,11,2000,1
Avl,add,20,13,3000,1
Avl,add,20,20,5000,1
Avl,add,20,33,7000,2
Avl,add,20,44,10000,2
Avl,add,20,60,13000,3
Avl,add,20,100,20000,5
Avl,add,20,165,30000,8
Avl,add,20,289,50000,14
Bst,addAndFix,20,201,10,10
Bst,addAndFix,20,8,100,0
Bst,addAndFix,20,36,500,2
Bst,addAndFix,20,20,1000,1
Bst,addAndFix,20,33,2000,2
Bst,addAndFix,20,77,3000,4
Bst,addAndFix,20,224,5000,11
Bst,addAndFix,20,470,7000,24
Bst,addAndFix,20,1106,10000,55
Bst,addAndFix,20,1857,13000,93
Bst,balance,20,0,10,0
Bst,balance,20,7,100,0
Bst,balance,20,165,500,8
Bst,balance,20,682,1000,34
Bst,balance,20,2860,2000,143
Bst,balance,20,6724,3000,336
Bst,balance,20,20882,5000,1044
Bst,balance,20,42018,7000,2101
Bst,balance,20,88488,10000,4424
Bst,balance,20,146321,13000,7316
Array,contains,20,1,10,0
Array,contains,20,2,100,0
Array,contains,20,33,500,2
Array,contains,20,66,1000,3
Array,contains,20,173,2000,9
Array,contains,20,781,3000,39
Array,contains,20,2532,5000,127
Array,contains,20,5213,7000,261
Array,contains,20,11234,10000,562
Array,contains,20,19526,13000,976
Array,contains,20,71644,20000,3582
Array,contains,20,69558,30000,3478
Array,contains,20,92413,50000,4621
List,contains,20,1,10,0
List,contains,20,4,100,0
List,contains,20,19,500,1
List,contains,20,66,1000,3
List,contains,20,248,2000,12
List,contains,20,550,3000,28
List,contains,20,1474,5000,74
List,contains,20,3005,7000,150
List,contains,20,6083,10000,304
List,contains,20,10312,13000,516
List,contains,20,23157,20000,1158
List,contains,20,53472,30000,2674
List,contains,20,154521,50000,7726
Heap,contains,20,1,10,0
Heap,contains,20,3,100,0
Heap,contains,20,18,500,1
Heap,contains,20,6,1000,0
Heap,contains,20,18,2000,1
Heap,contains,20,39,3000,2
Heap,contains,20,110,5000,6
Heap,contains,20,205,7000,10
Heap,contains,20,441,10000,22
Heap,contains,20,717,13000,36
Heap,contains,20,1755,20000,88
Heap,contains,20,3983,30000,199
Heap,contains,20,11036,50000,552
Bst,contains,20,0,10,0
Bst,contains,20,0,100,0
Bst,contains,20,1,500,0
Bst,contains,20,1,1000,0
Bst,contains,20,4,2000,0
Bst,contains,20,3,3000,0
Bst,contains,20,3,5000,0
Bst,contains,20,13,7000,1
Bst,contains,20,18,10000,1
Bst,contains,20,31,13000,2
Bst,contains,20,48,20000,2
Bst,contains,20,95,30000,5
Bst,contains,20,209,50000,10
Avl,contains,20,1,10,0
Avl,contains,20,1,100,0
Avl,contains,20,3,500,0
Avl,contains,20,2,1000,0
Avl,contains,20,1,2000,0
Avl,contains,20,2,3000,0
Avl,contains,20,7,5000,0
Avl,contains,20,8,7000,0
Avl,contains,20,17,10000,1
Avl,contains,20,25,13000,1
Avl,contains,20,51,20000,3
Avl,contains,20,91,30000,5
Avl,contains,20,166,50000,8
Array,delete,20,0,10,0
Array,delete,20,2,100,0
Array,delete,20,8,500,0
Array,delete,20,20,1000,1
Array,delete,20,147,2000,7
Array,delete,20,723,3000,36
Array,delete,20,2333,5000,117
Array,delete,20,5090,7000,255
Array,delete,20,13896,10000,695
Array,delete,20,25812,13000,1291
Array,delete,20,70678,20000,3534
Array,delete,20,50511,30000,2526
Array,delete,20,67590,50000,3380
Heap,delete,20,0,10,0
Heap,delete,20,2,100,0
Heap,delete,20,10,500,1
Heap,delete,20,9,1000,0
Heap,delete,20,16,2000,1
Heap,delete,20,49,3000,2
Heap,delete,20,142,5000,7
Heap,delete,20,283,7000,14
Heap,delete,20,556,10000,28
Heap,delete,20,945,13000,47
Heap,delete,20,2187,20000,109
Heap,delete,20,4919,30000,246
Heap,delete,20,16467,50000,823
Bst,delete,20,1,10,0
Bst,delete,20,5,100,0
Bst,delete,20,11,500,1
Bst,delete,20,4,1000,0
Bst,delete,20,12,2000,1
Bst,delete,20,5,3000,0
Bst,delete,20,8,5000,0
Bst,delete,20,15,7000,1
Bst,delete,20,20,10000,1
Bst,delete,20,26,13000,1
Bst,delete,20,51,20000,3
Bst,delete,20,91,30000,5
Bst,delete,20,172,50000,9
List,deleteValue,20,1,10,0
List,deleteValue,20,8,100,0
List,deleteValue,20,25,500,1
List,deleteValue,20,69,1000,3
List,deleteValue,20,244,2000,12
List,deleteValue,20,552,3000,28
List,deleteValue,20,1439,5000,72
List,deleteValue,20,2901,7000,145
List,deleteValue,20,5869,10000,293
List,deleteValue,20,10409,13000,520
List,deleteValue,20,24004,20000,1200
List,deleteValue,20,55482,30000,2774
List,deleteValue,20,144700,50000,7235
Bst,extractAndFix,20,0,10,0
Bst,extractAndFix,20,1,100,0
Bst,extractAndFix,20,4,500,0
Bst,extractAndFix,20,15,1000,1
Bst,extractAndFix,20,62,2000,3
Bst,extractAndFix,20,152,3000,8
Bst,extractAndFix,20,408,5000,20
Bst,extractAndFix,20,846,7000,42
Bst,extractAndFix,20,1968,10000,98
Bst,extractAndFix,20,3562,13000,178
