kruskalList,10,25%,4575145
kruskalList,10,50%,67209
kruskalList,10,75%,52106
kruskalList,10,99%,58903
kruskalList,100,25%,1741402
kruskalList,100,50%,980954
kruskalList,100,75%,1291326
kruskalList,100,99%,1825602
kruskalList,200,25%,1824847
kruskalList,200,50%,2288894
kruskalList,200,75%,1422346
kruskalList,200,99%,1845236
kruskalList,400,25%,1014937
kruskalList,400,50%,2765778
kruskalList,400,75%,3162237
kruskalList,400,99%,2293047
kruskalList,800,25%,2392729
kruskalList,800,50%,5041456
kruskalList,800,75%,12022544
kruskalList,800,99%,8624697
kruskalList,1000,25%,7232934
kruskalList,1000,50%,12196609
kruskalList,1000,75%,12494520
kruskalList,1000,99%,607510608
kruskalList,2000,25%,15497042
kruskalList,2000,50%,28356304
kruskalList,2000,75%,45577380
kruskalList,2000,99%,51190870
kruskalList,10,25%,4588360
kruskalList,10,50%,77781
kruskalList,10,75%,63811
kruskalList,10,99%,118561
kruskalList,100,25%,1820694
kruskalList,100,50%,1102157
kruskalList,100,75%,1442358
kruskalList,100,99%,2018923
kruskalList,200,25%,2016281
kruskalList,200,50%,2737837
kruskalList,200,75%,2152209
kruskalList,200,99%,2834497
kruskalList,400,25%,2121248
kruskalList,400,50%,4395416
kruskalList,400,75%,6296156
kruskalList,400,99%,6425289
kruskalList,800,25%,5465103
kruskalList,800,50%,8936200
kruskalList,800,75%,18670984
kruskalList,800,99%,19846393
kruskalList,1000,25%,12630449
kruskalList,1000,50%,21591192
kruskalList,1000,75%,23961643
kruskalList,1000,99%,714841298
kruskalList,2000,25%,30472645
kruskalList,2000,50%,55738073
kruskalList,2000,75%,84774024
kruskalList,2000,99%,102724961
kruskalList,10,25%,4590248
kruskalList,10,50%,80424
kruskalList,10,75%,66076
kruskalList,10,99%,120827
kruskalList,100,25%,1869024
kruskalList,100,50%,1190133
kruskalList,100,75%,1564695
kruskalList,100,99%,2197519
kruskalList,200,25%,2207337
kruskalList,200,50%,3267205
kruskalList,200,75%,2886980
kruskalList,200,99%,3801103
kruskalList,400,25%,3235111
kruskalList,400,50%,6528369
kruskalList,400,75%,8221439
kruskalList,400,99%,10664764
kruskalList,800,25%,10056484
kruskalList,800,50%,17008874
kruskalList,800,75%,29299500
kruskalList,800,99%,29519631
kruskalList,1000,25%,15836486
kruskalList,1000,50%,28991395
kruskalList,1000,75%,33368309
kruskalList,1000,99%,729333597
kruskalList,2000,25%,43745359
kruskalList,2000,50%,84235215
kruskalList,2000,75%,124065441
kruskalList,2000,99%,154926993
kruskalList,10,25%,4593268
kruskalList,10,50%,83067
kruskalList,10,75%,69097
kruskalList,10,99%,124981
kruskalList,100,25%,1916977
kruskalList,100,50%,1276599
kruskalList,100,75%,1685899
kruskalList,100,99%,2355348
kruskalList,200,25%,2401791
kruskalList,200,50%,3755417
kruskalList,200,75%,3624773
kruskalList,200,99%,4780170
kruskalList,400,25%,4348218
kruskalList,400,50%,8639044
kruskalList,400,75%,11145423
kruskalList,400,99%,14851000
kruskalList,800,25%,13486426
kruskalList,800,50%,22386377
kruskalList,800,75%,38518131
kruskalList,800,99%,40128137
kruskalList,1000,25%,21257789
kruskalList,1000,50%,35328330
kruskalList,1000,75%,43365134
kruskalList,1000,99%,741934217
kruskalList,2000,25%,60289054
kruskalList,2000,50%,111785763
kruskalList,2000,75%,164492243
kruskalList,2000,99%,206797131

primList,10,25%,135551
primList,10,50%,15104
primList,10,75%,26053
primList,10,99%,19257
primList,100,25%,367008
primList,100,50%,580719
primList,100,75%,850689
primList,100,99%,1061002
primList,200,25%,1153131
primList,200,50%,2201673
primList,200,75%,2602663
primList,200,99%,1785956
primList,400,25%,1951714
primList,400,50%,2814108
primList,400,75%,4524548
primList,400,99%,6361478
primList,800,25%,6787767
primList,800,50%,14730176
primList,800,75%,22768489
primList,800,99%,25814054
primList,1000,25%,11436162
primList,1000,50%,23534600
primList,1000,75%,36349687
primList,1000,99%,47790757
primList,2000,25%,31638991
primList,2000,50%,100720009
primList,2000,75%,64637272
primList,2000,99%,208648786
primList,10,25%,138572
primList,10,50%,17747
primList,10,75%,29074
primList,10,99%,22655
primList,100,25%,441014
primList,100,50%,714382
primList,100,75%,1030417
primList,100,99%,1293969
primList,200,25%,1418948
primList,200,50%,2756339
primList,200,75%,3333659
primList,200,99%,2839784
primList,400,25%,3242662
primList,400,50%,5939721
primList,400,75%,8966784
primList,400,99%,12827546
primList,800,25%,13456595
primList,800,50%,29409756
primList,800,75%,45118997
primList,800,99%,55977460
primList,1000,25%,22615191
primList,1000,50%,47289707
primList,1000,75%,72759032
primList,1000,99%,68638493
primList,2000,25%,81272719
primList,2000,50%,201677894
primList,2000,75%,137977021
primList,2000,99%,406606377
primList,10,25%,140460
primList,10,50%,20390
primList,10,75%,31717
primList,10,99%,25676
primList,100,25%,514642
primList,100,50%,848424
primList,100,75%,1209391
primList,100,99%,1528069
primList,200,25%,1685519
primList,200,50%,3268339
primList,200,75%,4068053
primList,200,99%,3830177
primList,400,25%,4516619
primList,400,50%,8711918
primList,400,75%,13424501
primList,400,99%,19168257
primList,800,25%,20098616
primList,800,50%,44120675
primList,800,75%,67563899
primList,800,99%,86013621
primList,1000,25%,33918067
primList,1000,50%,73460575
primList,1000,75%,506765302
primList,1000,99%,116237439
primList,2000,25%,131141302
primList,2000,50%,302429997
primList,2000,75%,290729150
primList,2000,99%,491359634
primList,10,25%,143480
primList,10,50%,23033
primList,10,75%,34360
primList,10,99%,28697
primList,100,25%,593179
primList,100,50%,981710
primList,100,75%,1388364
primList,100,99%,1759148
primList,200,25%,1949825
primList,200,50%,3813943
primList,200,75%,4817551
primList,200,99%,4811509
primList,400,25%,5776606
primList,400,50%,11530935
primList,400,75%,18157851
primList,400,99%,25360579
primList,800,25%,26770088
primList,800,50%,58723606
primList,800,75%,89957828
primList,800,99%,116081121
primList,1000,25%,45004589
primList,1000,50%,97327446
primList,1000,75%,542581844
primList,1000,99%,164010450
primList,2000,25%,181200564
primList,2000,50%,403649545
primList,2000,75%,355678681
primList,2000,99%,686676804

KruskalM,10,25%,112897
KruskalM,10,50%,74761
KruskalM,10,75%,84956
KruskalM,10,99%,65321
KruskalM,100,25%,19634570
KruskalM,100,50%,10361945
KruskalM,100,75%,8275435
KruskalM,100,99%,9975302
KruskalM,200,25%,81045793
KruskalM,200,50%,83032622
KruskalM,200,75%,89600259
KruskalM,200,99%,85163309
KruskalM,400,25%,746481421
KruskalM,400,50%,660129865
KruskalM,400,75%,739124640
KruskalM,400,99%,714749167
KruskalM,800,25%,7119291689
KruskalM,800,50%,10513254024
KruskalM,800,75%,13293475294
KruskalM,800,99%,14354527815
KruskalM,1000,25%,16556121885
KruskalM,1000,50%,23604223390
KruskalM,1000,75%,28611443865
KruskalM,1000,99%,31034771777
KruskalM,2000,25%,174448544257
KruskalM,2000,50%,240819886114
KruskalM,2000,75%,296950057411
KruskalM,2000,99%,295535890359
KruskalM,10,25%,126867
KruskalM,10,50%,86088
KruskalM,10,75%,97416
KruskalM,10,99%,78158
KruskalM,100,25%,27661934
KruskalM,100,50%,18589427
KruskalM,100,75%,16240876
KruskalM,100,99%,17873156
KruskalM,200,25%,148049740
KruskalM,200,50%,151962230
KruskalM,200,75%,158271224
KruskalM,200,99%,158328239
KruskalM,400,25%,1366044401
KruskalM,400,50%,1331560719
KruskalM,400,75%,1488373349
KruskalM,400,99%,1469497338
KruskalM,800,25%,14533763448
KruskalM,800,50%,21129459180
KruskalM,800,75%,26307370639
KruskalM,800,99%,28517295647
KruskalM,1000,25%,33435565301
KruskalM,1000,50%,47052993818
KruskalM,1000,75%,56817728619
KruskalM,1000,99%,62393929107
KruskalM,2000,25%,343288838982
KruskalM,2000,50%,471037000258
KruskalM,2000,75%,575457486877
KruskalM,2000,99%,610068377962
KruskalM,10,25%,138950
KruskalM,10,50%,98925
KruskalM,10,75%,109876
KruskalM,10,99%,90618
KruskalM,100,25%,37464304
KruskalM,100,50%,27026844
KruskalM,100,75%,24267485
KruskalM,100,99%,27906228
KruskalM,200,25%,221709301
KruskalM,200,50%,225476045
KruskalM,200,75%,236698117
KruskalM,200,99%,231823930
KruskalM,400,25%,2068334163
KruskalM,400,50%,2128500881
KruskalM,400,75%,2415709091
KruskalM,400,99%,2373561276
KruskalM,800,25%,23381230694
KruskalM,800,50%,33569350800
KruskalM,800,75%,41451058567
KruskalM,800,99%,45189897000
KruskalM,1000,25%,53022304065
KruskalM,1000,50%,73485638533
KruskalM,1000,75%,89273136159
KruskalM,1000,99%,97709352785
KruskalM,2000,25%,532709891216
KruskalM,2000,50%,723154124635
KruskalM,2000,75%,992524794399
KruskalM,2000,99%,1094674101102
KruskalM,10,25%,164626
KruskalM,10,50%,127243
KruskalM,10,75%,136684
KruskalM,10,99%,117804
KruskalM,100,25%,55710510
KruskalM,100,50%,47271207
KruskalM,100,75%,44644756
KruskalM,100,99%,46933648
KruskalM,200,25%,395459443
KruskalM,200,50%,399316051
KruskalM,200,75%,421611053
KruskalM,200,99%,411786029
KruskalM,400,25%,3716243631
KruskalM,400,50%,3984409697
KruskalM,400,75%,3395214015
KruskalM,400,99%,3395755842
